"","date","returns"
"1",2018-01-02,0
"2",2018-01-03,0.00677571799717577
"3",2018-01-04,0.0183276775487576
"4",2018-01-05,0.00718077628507479
"5",2018-01-08,-0.0149945174681019
"6",2018-01-09,0.0127022789451777
"7",2018-01-10,-0.031471181183296
"8",2018-01-11,-0.0047477892436174
"9",2018-01-12,0.0284435986215845
"10",2018-01-15,0.000578057144231412
"11",2018-01-16,-0.000867211070929113
"12",2018-01-17,0.00404045034622772
"13",2018-01-18,-0.00404045034622775
"14",2018-01-19,-0.00376639587741011
"15",2018-01-22,0
"16",2018-01-23,-0.00290709165073917
"17",2018-01-24,0.0046471821369904
"18",2018-01-25,0.00951703615331778
"19",2018-01-26,-0.00489158251428984
"20",2018-01-29,-0.000865477509473747
"21",2018-01-30,-0.00550006661580519
"22",2018-01-31,-0.0451250413676099
"23",2018-02-01,0.0147703953986162
"24",2018-02-02,-0.00992330329188565
"25",2018-02-06,0.00271608632672188
"26",2018-02-07,-0.00695592921489396
"27",2018-02-08,-0.039937263643201
"28",2018-02-09,0.000631537038814408
"29",2018-02-12,-0.0104713239264012
"30",2018-02-13,0.00952393229003099
"31",2018-02-14,-0.0197836681228549
"32",2018-02-15,0.019783668122855
"33",2018-02-16,-0.0159239454850336
"34",2018-02-19,0.00831206989998208
"35",2018-02-20,-0.00702873466331412
"36",2018-02-21,0.0121097295445955
"37",2018-02-22,0.00347827234014035
"38",2018-02-23,-0.00284493549115972
"39",2018-02-26,-0.0159544331150324
"40",2018-02-27,-0.0142535292463819
"41",2018-02-28,-0.0174432084903989
"42",2018-03-01,-0.00833482607967127
"43",2018-03-02,0.0146230919878676
"44",2018-03-05,0.007886970328488
"45",2018-03-06,-0.00623871118765259
"46",2018-03-07,-0.00296887847525272
"47",2018-03-08,0.0111696674342706
"48",2018-03-09,0.0245253124365927
"49",2018-03-12,0.0192586074932885
"50",2018-03-13,0.00218643533996347
"51",2018-03-14,-0.0112959439172081
"52",2018-03-15,-0.0187933153340404
"53",2018-03-16,-0.0100178559884999
"54",2018-03-20,0.0212089401619709
"55",2018-03-21,0.00602313897414145
"56",2018-03-22,-0.0201122921188166
"57",2018-03-23,-0.0211838160064102
"58",2018-03-26,0.0247247254091408
"59",2018-03-27,-0.0161972864954112
"60",2018-03-28,-0.0174605817784133
"61",2018-04-02,0
"62",2018-04-03,0.00761476623174162
"63",2018-04-04,0.0225021926393525
"64",2018-04-05,0.000644705528305705
"65",2018-04-06,0
"66",2018-04-09,-0.0103662211110128
"67",2018-04-10,0.0174310703587093
"68",2018-04-11,0.00478851027500735
"69",2018-04-12,-0.00318979107044986
"70",2018-04-13,0.00414472208403038
"71",2018-04-16,-0.0212225809055007
"72",2018-04-17,0.0253502588819362
"73",2018-04-18,0.00631713189313112
"74",2018-04-19,-0.0303683476550539
"75",2018-04-20,-0.0127389295281927
"76",2018-04-23,0.0214642215641471
"77",2018-04-24,-0.0181823066151694
"78",2018-04-25,0.00555461508089404
"79",2018-04-26,0.0209584042016626
"80",2018-04-27,0.0028675330821454
"81",2018-04-30,-0.00862757965477403
"82",2018-05-02,-0.00192734743861192
"83",2018-05-03,-0.00483487814566968
"84",2018-05-04,0.0125222721569103
"85",2018-05-07,-0.0193305369401265
"86",2018-05-08,0.00227453223678489
"87",2018-05-09,-0.0162875458836273
"88",2018-05-10,0.0182638350429428
"89",2018-05-11,-0.00263592110391968
"90",2018-05-14,-0.00165095328511118
"91",2018-05-15,-0.0196902797252613
"92",2018-05-16,0.0272623147032114
"93",2018-05-17,-0.0483803077241963
"94",2018-05-18,-0.0201675534230387
"95",2018-05-21,-0.00917439454417337
"96",2018-05-22,0.0193090116704883
"97",2018-05-23,-0.00208834527144695
"98",2018-05-24,0.00104471778387106
"99",2018-05-25,-0.0196843301489485
"100",2018-05-28,-0.00712508899833794
"101",2018-05-29,-0.0136790750069099
"102",2018-05-30,0.0208041640052478
"103",2018-05-31,0
"104",2018-06-01,0.00777940411981788
"105",2018-06-04,-0.0152620482801584
"106",2018-06-05,-0.0154985932208144
"107",2018-06-06,0.00471098058597586
"108",2018-06-07,0.0104299295814123
"109",2018-06-08,0.0296108930890121
"110",2018-06-11,-0.00173826183006089
"111",2018-06-12,-0.00908781234652675
"112",2018-06-13,-0.0162835080698399
"113",2018-06-14,0.00213904247651131
"114",2018-06-15,0.00956943489888646
"115",2018-06-18,-0.0221121436471569
"116",2018-06-19,-0.00216607008671227
"117",2018-06-20,0.0235724959973217
"118",2018-06-21,-0.00601875942111678
"119",2018-06-22,0.00283688691241163
"120",2018-06-25,0.00529753336085468
"121",2018-06-26,-0.00777940411981788
"122",2018-06-27,-0.00676759087128941
"123",2018-06-28,-0.0180315379352469
"124",2018-06-29,0.0115775765651572
"125",2018-07-02,0.00143781763493004
"126",2018-07-03,0.00715824090405958
"127",2018-07-04,0.00249336289454919
"128",2018-07-05,0.039070132948188
"129",2018-07-06,0.0159515316417873
"130",2018-07-09,-0.0115138644511426
"131",2018-07-10,0.00136140591203547
"132",2018-07-11,-0.00272473530801388
"133",2018-07-12,-0.000682429909212279
"134",2018-07-13,0.00442708881676186
"135",2018-07-16,-0.00510984950829391
"136",2018-07-17,0.00578919870836253
"137",2018-07-18,-0.0153980767494818
"138",2018-07-19,0.0147187275494133
"139",2018-07-20,0.00913253493957135
"140",2018-07-23,-0.0118545563206337
"141",2018-07-24,-0.0027294510096692
"142",2018-07-25,0.0253007423792849
"143",2018-07-26,0.00994375414689017
"144",2018-07-27,0.0199190325524024
"145",2018-07-30,-0.00194175197781619
